유닛ID,등급,유닛이름,회수경로,출처,계산식,basis축,basis대응,공격타입,피해타입,비고,absolute_cooldown_s,쿨근거버프,쿨근거능력,rand_min,rand_max,rand_mean,더미채널판정,더미_피해값,원작게이트,게이트확신도,평타트리거유닛,더미채널판정_검증
h04J,불멸의,골.D.로져 해적왕 - 불멸의,더미,Trig_roger_Attack → e07W(#불멸 로저 더미4) → A12U,Prg5=0.5 Prg4=0.5,스톡능력필드,✅ Flat(값 그대로),[미확인],[미확인], / 필드뜻[미확인],0,조사함-없음(더미채널),,해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),❌ 피해 아님(버프·디버프·배율·지속),0,해당없음(더미채널 — DUMMY_CHANNEL_GATES.csv 참고),해당없음,,✅ 태그 맞음(2026-09-06 재검증: base·atar·오더 4단계 대조)
h04Q,불멸의,빅 맘 강철 풍선 - 불멸의,트리거,Trig_Bigmam_Attack,((GetEventDamage()*1.98)+999999.00),실제평타피해,❌ 스키마에 없음,CHAOS,UNIVERSAL,,0,조사함-식대조실패,,0.5,0.5,0.5,해당없음(트리거 채널),,Stage[GlobalTV]==2 ‖ Stage[GlobalTV]==3,추정(지점 여럿),h04Q,
h04Q,불멸의,빅 맘 강철 풍선 - 불멸의,더미,Trig_Bigmam_Attack → e05R(@초월 빅맘 더미 3) → A14P,Blo3=0.1 Blo1=1.75,스톡능력필드,✅ Flat(값 그대로),[미확인],[미확인],^빅맘 광증 / 필드뜻[미확인],0,조사함-없음(더미채널),,해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),❌ 피해 아님(버프·디버프·배율·지속),0,해당없음(더미채널 — DUMMY_CHANNEL_GATES.csv 참고),해당없음,,✅ 태그 맞음(2026-09-06 재검증: base·atar·오더 4단계 대조)
h057,영원한,알라바스타의 왕녀-ver파이러츠 네펠타리 비비 - 영원한,더미,Trig_ViVi_Attack → e0D3(E영원 비비 절대쿨 더미) → A121,Blo1=4,스톡능력필드,✅ Flat(값 그대로),[미확인],[미확인],^비비영원 3연사공속버프 / 필드뜻[미확인],0,조사함-없음(더미채널),,해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),❌ 피해 아님(버프·디버프·배율·지속),0,해당없음(더미채널 — DUMMY_CHANNEL_GATES.csv 참고),해당없음,,✅ 태그 맞음(2026-09-06 재검증: base·atar·오더 4단계 대조)
h057,영원한,알라바스타의 왕녀-ver파이러츠 네펠타리 비비 - 영원한,더미,Trig_ViVi_Attack → e0D3(E영원 비비 절대쿨 더미) → A0LY,Ufa1=6,스톡능력필드,✅ Flat(값 그대로),[미확인],[미확인],5절대쿨 비비 / 필드뜻[미확인],0,조사함-없음(더미채널),,해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),❌ 피해 아님(버프·디버프·배율·지속),0,해당없음(더미채널 — DUMMY_CHANNEL_GATES.csv 참고),해당없음,,✅ 태그 맞음(2026-09-06 재검증: base·atar·오더 4단계 대조)
h059,영원한,'화권의' 포트거스.D.에이스 - 영원한,트리거,Trig_Ace_Attack,300000.00,Flat,✅ Flat,NORMAL,UNIVERSAL,,0,조사함-게이트밖,,1,1,1,해당없음(트리거 채널),,"GetRandomInt(1,8)==7",확정,h059,
h059,영원한,'화권의' 포트거스.D.에이스 - 영원한,트리거,Trig_Ace_Attack,1000000.00,Flat,✅ Flat,NORMAL,UNIVERSAL,,0,조사함-게이트밖,,1,1,1,해당없음(트리거 채널),,"GetRandomInt(1,8)==7",확정,h059,
h059,영원한,'화권의' 포트거스.D.에이스 - 영원한,더미,Trig_Ace_Attack → e0AB(E영원 에이스 특대화권 더미1) → A0BL,Ucs3=950 Ucs1=1.15e+06 Ucs2=8e+07 Ucs4=460,스톡능력필드,✅ Flat(값 그대로),[미확인],[미확인],0장풍 에이스 불주먹-5영원 / 필드뜻[미확인],0,조사함-없음(더미채널),,해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),⭕ 피해 있음 — ACca 시체 폭발선 — 대상당 피해,"1,150,000",해당없음(더미채널 — DUMMY_CHANNEL_GATES.csv 참고),해당없음,,
h059,영원한,'화권의' 포트거스.D.에이스 - 영원한,더미,Trig_Ace_Attack → e0AB(E영원 에이스 특대화권 더미1) → A0CB,Ufa1=4.25,스톡능력필드,✅ Flat(값 그대로),[미확인],[미확인],5절대쿨 에이스영원 / 필드뜻[미확인],0,조사함-없음(더미채널),,해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),❌ 피해 아님(버프·디버프·배율·지속),0,해당없음(더미채널 — DUMMY_CHANNEL_GATES.csv 참고),해당없음,,✅ 태그 맞음(2026-09-06 재검증: base·atar·오더 4단계 대조)
h059,영원한,'화권의' 포트거스.D.에이스 - 영원한,더미,Trig_Ace_Attack → e0AI(E영원 에이스 특대화권 더미2) → A0OH,Eim1=120000,스톡능력필드,✅ Flat(값 그대로),[미확인],[미확인],5범위 영원함-에이스 화권 / 필드뜻[미확인],0,조사함-없음(더미채널),,해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),⭕ 피해 있음 — ANpi — 피해,"120,000",해당없음(더미채널 — DUMMY_CHANNEL_GATES.csv 참고),해당없음,,
h059,영원한,'화권의' 포트거스.D.에이스 - 영원한,더미,Trig_Ace_Attack → e0D8(E영원 에이스 특대화권 더미0) → A0CB,Ufa1=4.25,스톡능력필드,✅ Flat(값 그대로),[미확인],[미확인],5절대쿨 에이스영원 / 필드뜻[미확인],0,조사함-없음(더미채널),,해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),❌ 피해 아님(버프·디버프·배율·지속),0,해당없음(더미채널 — DUMMY_CHANNEL_GATES.csv 참고),해당없음,,✅ 태그 맞음(2026-09-06 재검증: base·atar·오더 4단계 대조)
h05A,영원한,천냥광대 버기 - 영원한,더미,Trig_Bugi_Attack → e0AJ(E영원 버기 더미) → A0M5,Roa1=-0.33,스톡능력필드,✅ Flat(값 그대로),[미확인],[미확인],7하울오브테러 버영 허세 / 필드뜻[미확인],0,조사함-없음(더미채널),,해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),❌ 피해 아님(버프·디버프·배율·지속),0,해당없음(더미채널 — DUMMY_CHANNEL_GATES.csv 참고),해당없음,,✅ 태그 맞음(2026-09-06 재검증: base·atar·오더 4단계 대조)
h05A,영원한,천냥광대 버기 - 영원한,더미,Trig_Bugi_Attack → h076(|cffdb7093[히든조합]엠포리오 이완코브|r|cffff0000임펠다운 5.5층 뉴카마왕국의 왕(?)|r소환됨) → A0E4,Had1=-11,스톡능력필드,✅ Flat(값 그대로),[미확인],[미확인],B뉴카마 / 필드뜻[미확인],0,조사함-없음(더미채널),,해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),❌ 피해 아님(버프·디버프·배율·지속),0,해당없음(더미채널 — DUMMY_CHANNEL_GATES.csv 참고),해당없음,,✅ 태그 맞음(2026-09-06 재검증: base·atar·오더 4단계 대조)
h05A,영원한,천냥광대 버기 - 영원한,더미,Trig_Bugi_Attack → h076(|cffdb7093[히든조합]엠포리오 이완코브|r|cffff0000임펠다운 5.5층 뉴카마왕국의 왕(?)|r소환됨) → A12V,Inf1=0.45,스톡능력필드,✅ Flat(값 그대로),[미확인],[미확인],!호르몬호르몬 열매1 / 필드뜻[미확인],0,조사함-없음(더미채널),,해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),❌ 피해 아님(버프·디버프·배율·지속),0,해당없음(더미채널 — DUMMY_CHANNEL_GATES.csv 참고),해당없음,,✅ 태그 맞음(2026-09-06 재검증: base·atar·오더 4단계 대조)
h05A,영원한,천냥광대 버기 - 영원한,더미,Trig_Bugi_Attack → h076(|cffdb7093[히든조합]엠포리오 이완코브|r|cffff0000임펠다운 5.5층 뉴카마왕국의 왕(?)|r소환됨) → A07N,atac=1,스톡능력필드,✅ Flat(값 그대로),[미확인],[미확인],스피어 히든 조합 / 필드뜻[미확인],0,조사함-없음(더미채널),,해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),❌ 피해 아님(버프·디버프·배율·지속),0,해당없음(더미채널 — DUMMY_CHANNEL_GATES.csv 참고),해당없음,,✅ 태그 맞음(2026-09-06 재검증: base·atar·오더 4단계 대조)
h05A,영원한,천냥광대 버기 - 영원한,더미,Trig_Bugi_Attack → h079(|cffc0c0c0임펠다운 Lv.6죄수|r |cffb8860b버기의 부하|r - |cff00fa9a초월함|r) → A0F1,Hbh1=20 Hbh2=1.5,스톡능력필드,✅ Flat(값 그대로),[미확인],[미확인],!강력범-죄수크리 / 필드뜻[미확인],0,조사함-없음(더미채널),,해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),"🔴 오탐 정정(2026-09-06) — 피해 있음: ACbh Hbh1=20(20%)·Hbh2=1.5(1.5배 크리티컬)·atar=air,enemies,ground. Hbh3=0만 보고 「피해 아님」으로 태그했던 것",0,해당없음(더미채널 — DUMMY_CHANNEL_GATES.csv 참고),해당없음,,✅ 유효 — 삭제 금지
h05B,영원한,해적왕자-롬멜의 카마이타치 카벤딧슈 - 영원한,트리거,Trig_Cavendish_Attack,500000.00,Flat,✅ Flat,CHAOS,NORMAL,,0,조사함-게이트밖,,1,1,1,해당없음(트리거 채널),,"GetRandomInt(1,10)==6",확정,h05B,
h05B,영원한,해적왕자-롬멜의 카마이타치 카벤딧슈 - 영원한,트리거,Trig_Cavendish_Attack,950000.00,Flat,✅ Flat,CHAOS,NORMAL,,0,조사함-게이트밖,,1,1,1,해당없음(트리거 채널),,"NOT(GetRandomInt(1,10)==6) AND GetRandomInt(1,9)==7",확정,h05B,
h05B,영원한,해적왕자-롬멜의 카마이타치 카벤딧슈 - 영원한,트리거,Trig_Cavendish_Attack,1625000.00,Flat,✅ Flat,CHAOS,UNIVERSAL,,0,조사함-게이트밖,,1,1,1,해당없음(트리거 채널),,"GetRandomInt(1,10)==6",확정,h05B,
h05B,영원한,해적왕자-롬멜의 카마이타치 카벤딧슈 - 영원한,트리거,Trig_Cavendish_Attack,2775000.00,Flat,✅ Flat,CHAOS,UNIVERSAL,,0,조사함-게이트밖,,1,1,1,해당없음(트리거 채널),,"NOT(GetRandomInt(1,10)==6) AND GetRandomInt(1,9)==7",확정,h05B,
h05B,영원한,해적왕자-롬멜의 카마이타치 카벤딧슈 - 영원한,더미,Trig_Cavendish_Attack → e08G(E영원 캐번디시 1스킬 더미1) → A0X3,Idam=50000 Iob5=1,스톡능력필드,✅ Flat(값 그대로),[미확인],[미확인],/캐번디시 백조 / 필드뜻[미확인],0,조사함-없음(더미채널),,해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),⭕ 피해 있음 — AIfb — 피해,"50,000",해당없음(더미채널 — DUMMY_CHANNEL_GATES.csv 참고),해당없음,,
h05B,영원한,해적왕자-롬멜의 카마이타치 카벤딧슈 - 영원한,더미,Trig_Cavendish_Attack → e08G(E영원 캐번디시 1스킬 더미1) → A0B3,Wrs1=50000,스톡능력필드,✅ Flat(값 그대로),[미확인],[미확인],2범위 캐번디시 스턴 / 필드뜻[미확인],0,조사함-없음(더미채널),,해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),⭕ 피해 있음 — AOws 전쟁의 함성 — 피해,"50,000",해당없음(더미채널 — DUMMY_CHANNEL_GATES.csv 참고),해당없음,,
h05C,영원한,'아마존릴리의 여제'  보아 핸콕 - 영원한,더미,Trig_Hancock_Attack → e0E3(E영원 핸콕 버프 더미) → A0OP,Blo1=-0.15,스톡능력필드,✅ Flat(값 그대로),[미확인],[미확인],4지정 핸콕 슬레이브 애로우 / 필드뜻[미확인],0,조사함-없음(더미채널),,해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),❌ 피해 아님(버프·디버프·배율·지속),0,해당없음(더미채널 — DUMMY_CHANNEL_GATES.csv 참고),해당없음,,✅ 태그 맞음(2026-09-06 재검증: base·atar·오더 4단계 대조)
h05F,제한됨,크로커다일 사막의 악어 - 제한됨,트리거,Trig_croTrans,800000.00,Flat,✅ Flat,NORMAL,UNIVERSAL,,0,조사함-게이트밖,,1,2,1.5,해당없음(트리거 채널),,"GetRandomInt(1,17)==3",확정,h05F,
h05G,제한됨,패트릭 레드필드 붉은백작 - 제한됨,트리거,Trig_RedAttack,"((GetUnitStateSwap(UNIT_STATE_MAX_LIFE,GetTriggerUnit())*(0.0275))*1.00)",대상최대체력,✅ TargetMaxHpPercent,CHAOS,UNIVERSAL,,0,조사함-게이트밖,,1,1,1,해당없음(트리거 채널),,"GetRandomInt(1,4)>1 AND GetUnitPointValue(GetTriggerUnit())<200",확정,h05G,
h05G,제한됨,패트릭 레드필드 붉은백작 - 제한됨,트리거,Trig_RedAttack,162500.00,Flat,✅ Flat,NORMAL,UNIVERSAL,,0,조사함-게이트밖,,1,1,1,해당없음(트리거 채널),,"GetRandomInt(1,4)>1 AND NOT(GetUnitPointValue(GetTriggerUnit())<200)",확정,h05G,
h05G,제한됨,패트릭 레드필드 붉은백작 - 제한됨,더미,Trig_RedAttack → e07R(%제한됨 패트릭 흡혈 2) → A0PV,Ucs1=700000 Ucs2=7e+07 Ucs4=450,스톡능력필드,✅ Flat(값 그대로),[미확인],[미확인],0장풍 패트릭 장풍 / 필드뜻[미확인],0,조사함-없음(더미채널),,해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),⭕ 피해 있음 — ACca 시체 폭발선 — 대상당 피해,"700,000",해당없음(더미채널 — DUMMY_CHANNEL_GATES.csv 참고),해당없음,,
h05S,변화된,돈키호테 도플라밍고 하늘귀신 - 변화된,트리거,Trig_Transpom2,100000.00,Flat,✅ Flat,NORMAL,UNIVERSAL,,0,조사함-게이트밖,,1,1,1,해당없음(트리거 채널),,"GetRandomInt(1,10)==6",확정,h05S,
h05W,변화된,비비 알라바스타의 왕녀 - 변화된,트리거,Trig_Transpom1,100000.00,Flat,✅ Flat,NORMAL,UNIVERSAL,,0,조사함-게이트밖,,1,1,1,해당없음(트리거 채널),,"GetRandomInt(1,10)==3",확정,h05W,
h05W,변화된,비비 알라바스타의 왕녀 - 변화된,트리거,Trig_Transpom1,180000.00,Flat,✅ Flat,MELEE,NORMAL,,0,조사함-게이트밖,,1,1,1,해당없음(트리거 채널),,"GetRandomInt(1,10)==3",확정,h05W,
h05W,변화된,비비 알라바스타의 왕녀 - 변화된,트리거,Trig_Transpom1,250000.00,Flat,✅ Flat,NORMAL,UNIVERSAL,,0,조사함-게이트밖,,1,1,1,해당없음(트리거 채널),,"GetRandomInt(1,20)==4",확정,h05W,
h067,영원한,세계의 가희 우타 - 영원한,더미,Trig_Uta_Attack → e0R1(E영원 우타 오선보1) → A16W,Wrs1=450000,스톡능력필드,✅ Flat(값 그대로),[미확인],[미확인],2범위 우타 스턴 / 필드뜻[미확인],0,조사함-없음(더미채널),,해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),⭕ 피해 있음 — AOws 전쟁의 함성 — 피해,"450,000",해당없음(더미채널 — DUMMY_CHANNEL_GATES.csv 참고),해당없음,,
h06T,랜덤전용,뱀파이어 - 랜덤전용,트리거,Trig_vampire,1800000.00,Flat,✅ Flat,CHAOS,UNIVERSAL,,0,조사함-게이트밖,,1,1,1,해당없음(트리거 채널),,"(R2I(시전자마나)==115 AND 능력레벨('A0LA',GetAttacker())==1)",확정,h06T,
h06T,랜덤전용,뱀파이어 - 랜덤전용,트리거,Trig_vampire,300000.00,Flat,✅ Flat,CHAOS,UNIVERSAL,,0,조사함-게이트밖,,1,3,2,해당없음(트리거 채널),,"(GetRandomInt(1,10)==5)",확정,h06T,
h06U,랜덤전용,k' - 랜덤전용,트리거,Trig_k1,600000.00,Flat,✅ Flat,CHAOS,NORMAL,,0,조사함-게이트밖,,1,2,1.5,해당없음(트리거 채널),,"(능력레벨('A0KT',GetAttacker())==2 AND GetRandomInt(1,33)==5)",확정,h06U,
h06U,랜덤전용,k' - 랜덤전용,트리거,Trig_k1,300000.00,Flat,✅ Flat,CHAOS,NORMAL,,0,조사함-게이트밖,,1,1,1,해당없음(트리거 채널),,"(GetRandomInt(1,7)==3 AND 능력레벨('A0KT',GetAttacker())==2)",확정,h06U,
h06U,랜덤전용,k' - 랜덤전용,더미,Trig_k1 → e0CQ(R랜유 k 더미 4 미닛츠 이펙트) → A0LJ,Wrs1=5000,스톡능력필드,✅ Flat(값 그대로),[미확인],[미확인],2범위 미닛츠 스파이크 / 필드뜻[미확인],0,조사함-없음(더미채널),,해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),⭕ 피해 있음 — AOws 전쟁의 함성 — 피해,"5,000",해당없음(더미채널 — DUMMY_CHANNEL_GATES.csv 참고),해당없음,,
h06U,랜덤전용,k' - 랜덤전용,더미,Trig_k1 → e0CT(R랜유 k 더미 3 미닛츠 더미) → A0LJ,Wrs1=5000,스톡능력필드,✅ Flat(값 그대로),[미확인],[미확인],2범위 미닛츠 스파이크 / 필드뜻[미확인],0,조사함-없음(더미채널),,해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),⭕ 피해 있음 — AOws 전쟁의 함성 — 피해,"5,000",해당없음(더미채널 — DUMMY_CHANNEL_GATES.csv 참고),해당없음,,
h06U,랜덤전용,k' - 랜덤전용,더미,Trig_k1 → e0EP(R랜유 k 더미 1 체인 드라이브2 공속증가) → A0QK,Blo1=4,스톡능력필드,✅ Flat(값 그대로),[미확인],[미확인],^k 버프 / 필드뜻[미확인],0,조사함-없음(더미채널),,해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),❌ 피해 아님(버프·디버프·배율·지속),0,해당없음(더미채널 — DUMMY_CHANNEL_GATES.csv 참고),해당없음,,✅ 태그 맞음(2026-09-06 재검증: base·atar·오더 4단계 대조)
h06V,랜덤전용,나루토 선인모드 - 랜덤전용,더미,Trig_Naruto1 → e0CJ(R랜유 풍둔 나선 수리검 더미) → A0LG,Oww1=180000,스톡능력필드,✅ Flat(값 그대로),[미확인],[미확인],V나선 수리검 / 필드뜻[미확인],0,조사함-없음(더미채널),,해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),⭕ 피해 있음 — AOww 회오리 — 피해,"180,000",해당없음(더미채널 — DUMMY_CHANNEL_GATES.csv 참고),해당없음,,
h06V,랜덤전용,나루토 선인모드 - 랜덤전용,더미,Trig_Naruto1 → e0CL(R랜유 대옥나선환 더미) → A0LF,Wrs1=450000,스톡능력필드,✅ Flat(값 그대로),[미확인],[미확인],2범위 대옥나선환 / 필드뜻[미확인],0,조사함-없음(더미채널),,해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),⭕ 피해 있음 — AOws 전쟁의 함성 — 피해,"450,000",해당없음(더미채널 — DUMMY_CHANNEL_GATES.csv 참고),해당없음,,
h06X,랜덤전용,센토 이스즈 - 랜덤전용,트리거,Trig_isz,1500000.00,Flat,✅ Flat,CHAOS,NORMAL,,0,조사함-게이트밖,,1,1,1,해당없음(트리거 채널),,"(GetRandomInt(1,6)==5)",확정,h06X,
h070,랜덤전용,이사야마 요미 - 랜덤전용,트리거,Trig_yomi2,400000.00,Flat,✅ Flat,CHAOS,NORMAL,,0,조사함-게이트밖,,1,2,1.5,해당없음(트리거 채널),,"(능력레벨('A0KC',GetAttacker())==1) AND (GetRandomInt(1,12)==5)",확정,h070,
h071,랜덤전용,쿠로사키 이치고 - 랜덤전용,트리거,Trig_ichigo1,200000.00,Flat,✅ Flat,CHAOS,UNIVERSAL,,0,조사함-게이트밖,,1,1,1,해당없음(트리거 채널),,"GetUnitUserData(GetAttacker())==1 AND GetRandomInt(1,5)==3",확정,h071,
h071,랜덤전용,쿠로사키 이치고 - 랜덤전용,트리거,Trig_ichigo1,"(GetUnitStateSwap(UNIT_STATE_MAX_LIFE,GetTriggerUnit())*(0.02))",대상최대체력,✅ TargetMaxHpPercent,NORMAL,UNIVERSAL,,0,조사함-게이트밖,,1,1,1,해당없음(트리거 채널),,"GetUnitUserData(GetAttacker())==1 AND GetRandomInt(1,5)==3 AND GetUnitPointValue(GetTriggerUnit())<200",확정,h071,
h071,랜덤전용,쿠로사키 이치고 - 랜덤전용,트리거,Trig_ichigo1,100000.00,Flat,✅ Flat,NORMAL,UNIVERSAL,,0,조사함-게이트밖,,1,1,1,해당없음(트리거 채널),,"GetUnitUserData(GetAttacker())==1 AND GetRandomInt(1,5)==3 AND NOT(GetUnitPointValue(GetTriggerUnit())<200)",확정,h071,
h071,랜덤전용,쿠로사키 이치고 - 랜덤전용,더미,Trig_ichigo1 → e0O7(!이치고 월아) → A093,Ucs3=1150 Ucs1=450000 Ucs2=9e+07 Ucs4=375,스톡능력필드,✅ Flat(값 그대로),[미확인],[미확인],0장풍 검은 월아천충 / 필드뜻[미확인],0,조사함-없음(더미채널),,해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),⭕ 피해 있음 — ACca 시체 폭발선 — 대상당 피해,"450,000",해당없음(더미채널 — DUMMY_CHANNEL_GATES.csv 참고),해당없음,,
h072,랜덤전용,하네카와 츠바사 - 랜덤전용,더미,Trig_cat1 → e0CF(R랜유 츠바사 더미1) → A0LD,Htc1=150000 Htc3=0.7,스톡능력필드,✅ Flat(값 그대로),[미확인],[미확인],3범위 츠바사 할퀴기 / 필드뜻[미확인],0,조사함-없음(더미채널),,해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),⭕ 피해 있음 — AHtc 천둥 강타 — 피해,"150,000",해당없음(더미채널 — DUMMY_CHANNEL_GATES.csv 참고),해당없음,,
h072,랜덤전용,하네카와 츠바사 - 랜덤전용,더미,Trig_cat1 → e0CG(R랜유 츠바사 더미2) → A0LE,Htc1=350000 Htc3=0.85,스톡능력필드,✅ Flat(값 그대로),[미확인],[미확인],3범위 츠바사 할퀴기 2 / 필드뜻[미확인],0,조사함-없음(더미채널),,해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),⭕ 피해 있음 — AHtc 천둥 강타 — 피해,"350,000",해당없음(더미채널 — DUMMY_CHANNEL_GATES.csv 참고),해당없음,,
h073,랜덤전용,야가미 라이토 - 랜덤전용,트리거,Trig_Light1,"(GetUnitStateSwap(UNIT_STATE_LIFE,GetEnumUnit())*0.01)",대상현재체력,✅ TargetCurrentHpPercent,CHAOS,UNIVERSAL,,0,조사함-게이트밖,,1,1,1,해당없음(트리거 채널),,"(GetRandomInt(1,10)==5) AND (GetUnitPointValue(GetTriggerUnit())<200)",확정,h073,
h073,랜덤전용,야가미 라이토 - 랜덤전용,트리거,Trig_Light1,350000.00,Flat,✅ Flat,CHAOS,NORMAL,,0,조사함-게이트밖,,1,3,2,해당없음(트리거 채널),,"(능력레벨('A0L7',GetAttacker())==1 AND GetRandomInt(1,19)==5)",확정,h073,
h073,랜덤전용,야가미 라이토 - 랜덤전용,트리거,Trig_Light1,"((GetUnitStateSwap(UNIT_STATE_LIFE,GetTriggerUnit())*0.30)*(0.20+(0.05*I2R(GetUnitAbilityLevelSwapped('A11S',GetTriggerUnit())))))",대상현재체력+능력레벨,✅ TargetCurrentHpPercent+계수(대상A11S(폭발형 피해 감수도) 축),HERO,UNIVERSAL,,0,조사함-게이트밖,,1,1,1,해당없음(트리거 채널),,"(GetRandomInt(1,10)==5) AND (GetUnitPointValue(GetTriggerUnit())<200)",확정,h073,
h07I,제한됨,샬롯 카타쿠리 장성 밀가루 대신 - 제한됨,더미,Trig_katakuriAttack → e0FA(%제한됨변화 카타쿠리 버프) → A0R7,Blo1=4,스톡능력필드,✅ Flat(값 그대로),[미확인],[미확인],^카타쿠리 버프 / 필드뜻[미확인],0,조사함-없음(더미채널),,해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),❌ 피해 아님(버프·디버프·배율·지속),0,해당없음(더미채널 — DUMMY_CHANNEL_GATES.csv 참고),해당없음,,✅ 태그 맞음(2026-09-06 재검증: base·atar·오더 4단계 대조)
h07J,변화된,캐럿 스론 달의 사자 - 변화된,트리거,Trig_carrotattack,"(100000.00*(0.20+(0.05*I2R(GetUnitAbilityLevelSwapped('A11S',GetEnumUnit())))))",능력레벨,✅ 계수(대상A11S(폭발형 피해 감수도) 축),CHAOS,UNIVERSAL,,0,조사함-게이트밖,,1,1,1,해당없음(트리거 채널),,"GetRandomInt(1,2)==2",확정,h07J,
h07M,불멸의,카이도 사황'백수의 왕' - 불멸의,트리거,Trig_Kaido_Attack,((s__TrigVariables__get_realB(GlobalTV)*0.10)+150000.00),앞단계중간값,❌ 스키마에 없음,NORMAL,UNIVERSAL,,0,조사함-게이트밖,,1,1,1,해당없음(트리거 채널),,"(Stage[GlobalTV]==4) AND GetRandomInt(1,10)<5 ‖ (Stage[GlobalTV]==4) AND NOT(GetRandomInt(1,10)<5) ‖ (Stage[GlobalTV]==6) AND GetRandomInt(1,10)<5 ‖ (Stage[GlobalTV]==6) AND NOT(GetRandomInt(1,10)<5)",추정(지점 여럿),h07M,
h07M,불멸의,카이도 사황'백수의 왕' - 불멸의,트리거,Trig_Kaido_Attack,s__TrigVariables__get_realD(GlobalTV),앞단계중간값,❌ 스키마에 없음,CHAOS,NORMAL,,0,조사함-게이트밖,,1,1,1,해당없음(트리거 채널),,"(Stage[GlobalTV]==4) ‖ (Stage[GlobalTV]==4) AND (GetEventDamage()>=10.00) ‖ (Stage[GlobalTV]==4) AND GetRandomInt(1,10)<5 ‖ (Stage[GlobalTV]==4) AND NOT(GetRandomInt(1,10)<5) ‖ (Stage[GlobalTV]==5) ‖ (Stage[GlobalTV]==5) AND (GetEventDamage()>=10.00) ‖ (Stage[GlobalTV]==6) ‖ (Stage[GlobalTV]==6) AND GetRandomInt(1,10)<5 ‖ (Stage[GlobalTV]==6) AND NOT(GetRandomInt(1,10)<5) ‖ (무조건) ‖ Stage[GlobalTV]",추정(지점 여럿),h07M,
h07M,불멸의,카이도 사황'백수의 왕' - 불멸의,트리거,Trig_Kaido_Attack,((s__TrigVariables__get_realB(GlobalTV)*0.10)+150000.00),앞단계중간값,❌ 스키마에 없음,NORMAL,UNIVERSAL,,0,조사함-게이트밖,,1,1,1,해당없음(트리거 채널),,"(Stage[GlobalTV]==4) AND GetRandomInt(1,10)<5 ‖ (Stage[GlobalTV]==4) AND NOT(GetRandomInt(1,10)<5) ‖ (Stage[GlobalTV]==6) AND GetRandomInt(1,10)<5 ‖ (Stage[GlobalTV]==6) AND NOT(GetRandomInt(1,10)<5)",추정(지점 여럿),h07M,
